Date,BAJFINANCE.NS_QTY,BAJFINANCE.NS_Rate,BAJFINANCE.NS_Value,DMART.NS_QTY,DMART.NS_Rate,DMART.NS_Value,MARUTI.NS_QTY,MARUTI.NS_Rate,MARUTI.NS_Value,RELIANCE.NS_QTY,RELIANCE.NS_Rate,RELIANCE.NS_Value,TECHM.NS_QTY,TECHM.NS_Rate,TECHM.NS_Value
2023-05-08,,,,,,,,,,,,,100.0,1050.61,105061.0
2023-07-13,,,,25.0,3827.32,95683.0,,,,,,,160.0,1085.7,170203.0
2023-07-27,,,,25.0,3827.32,95683.0,,,,75.0,2517.21,188790.75,400.0,1250.61,450349.4
2023-12-27,,,,25.0,3827.32,95683.0,20.0,10302.65,206053.0,75.0,2517.21,188790.75,-160.0,-2512.95,-201035.8
2024-01-24,-23.0,-7077.43,-162780.89,25.0,3827.32,95683.0,20.0,10302.65,206053.0,75.0,2517.21,188790.75,-160.0,-2512.95,-201035.8
2023-05-09,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,-2512.95,
2023-07-14,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,-2512.95,
2023-07-28,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,-2512.95,
2023-12-28,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,-2512.95,
2024-01-25,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,-2512.95,
2023-06-13,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,160.0,1085.7,170203.0
2023-05-10,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,1085.7,
2023-07-17,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,1085.7,
2023-07-31,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,1085.7,
2023-12-29,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,1085.7,
2024-01-29,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,1085.7,
2023-05-11,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,1085.7,
2023-07-18,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,1085.7,
2023-08-01,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,1085.7,
2024-01-01,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,1085.7,
2024-01-30,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,1085.7,
2023-07-19,,-7077.43,,25.0,3827.32,95683.0,,10302.65,,,2517.21,,400.0,1250.61,450349.4
2023-05-12,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,1250.61,
2023-08-02,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,1250.61,
2024-01-02,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,1250.61,
2024-01-31,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,1250.61,
2023-05-15,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,1250.61,
2023-07-20,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,1250.61,
2023-08-03,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,1250.61,
2024-01-03,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,1250.61,
2024-02-01,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,1250.61,
2023-12-20,,-7077.43,,25.0,3827.32,95683.0,,10302.65,,75.0,2517.21,188790.75,-160.0,-2512.95,-201035.8
2023-05-16,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,-2512.95,
2023-07-21,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,-2512.95,
2023-08-04,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,-2512.95,
2024-01-04,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,-2512.95,
2024-02-02,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,-2512.95,
2023-05-17,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,-2512.95,
2023-07-24,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,-2512.95,
2023-08-07,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,-2512.95,
2024-01-05,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,-2512.95,
2023-05-18,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,-2512.95,
2023-07-25,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,-2512.95,
2023-08-08,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,-2512.95,
2024-01-08,,-7077.43,,,3827.32,,,10302.65,,,2517.21,,,-2512.95,
2024-02-04,-23.0,-6848.3,-157510.9,-25.0,-3784.3,-94607.5,-20.0,-10655.45,-213109.0,-75.0,-2915.4,-218655.0,-160.0,-2512.95,-201035.8
2023-05-19,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-07-26,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-08-09,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2024-01-09,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-05-22,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-08-10,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2024-01-10,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-05-23,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-08-11,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2024-01-11,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-05-24,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-08-14,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2024-01-12,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-05-25,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-08-16,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2024-01-15,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-05-26,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-08-17,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2024-01-16,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-05-29,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-08-18,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2024-01-17,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-05-30,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-08-21,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2024-01-18,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-05-31,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-08-22,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2024-01-19,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-01,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-08-23,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2024-01-23,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-02,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-08-24,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-05,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-08-25,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-06,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-08-28,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-07,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-08-29,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-08,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-08-30,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-09,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-08-31,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-12,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-01,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-04,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-14,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-05,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-15,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-06,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-16,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-07,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-19,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-08,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-20,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-11,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-21,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-12,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-22,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-13,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-23,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-14,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-26,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-15,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-27,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-18,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-28,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-20,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-30,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-21,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-07-03,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-22,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-07-04,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-25,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-07-05,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-26,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-07-06,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-27,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-07-07,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-28,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-07-10,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-29,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-07-11,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-03,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-07-12,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-04,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-05,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-06,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-09,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-10,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-11,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-12,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-13,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-16,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-17,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-18,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-19,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-20,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-23,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-25,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-26,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-27,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-30,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-31,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-01,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-02,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-03,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-06,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-07,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-08,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-09,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-10,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-13,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-15,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-16,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-17,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-20,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-21,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-22,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-23,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-24,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-28,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-29,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-30,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-01,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-04,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-05,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-06,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-07,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-08,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-11,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-12,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-13,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-14,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-15,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-18,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-19,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-21,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-22,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-26,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
